Latitude(deg),Longitude(deg),Time Zone,Tilt(deg),PV Azimuth(deg),GroundClearance(panel slope lengths),Row-to-Row-Distance rtr,RowType(first interior last single),TransmissionFactor(open area fraction),CellRows(# hor rows in panel),PVfrontSurface(glass or ARglass),PVbackSurface(glass or ARglass),Albedo,Tracking
37.517,-77.317,-5.0,123,180,1,1.5,interior,0.013,6,glass,glass,0.62,False
Year,Month,Day,Hour,Minute,DNI,DHI,decHRs,ghi,inc,zen,azm,pvFrontSH,aveFrontGroundGHI,GTIfrontBroadBand,pvBackSH,aveBackGroundGHI,GTIbackBroadBand,maxShadow,Tamb,Vwind,No_1_RowFrontGTI,No_2_RowFrontGTI,No_3_RowFrontGTI,No_4_RowFrontGTI,No_5_RowFrontGTI,No_6_RowFrontGTI,No_1_RowBackGTI,No_2_RowBackGTI,No_3_RowBackGTI,No_4_RowBackGTI,No_5_RowBackGTI,No_6_RowBackGTI
1998,8,24,19,0,35,15,18.5,17.76422814523635,101.1125284466977,85.47017947458836,280.3163264153164,1.0,6.966629781191433,12.278341050507231,0.38534291731128145,6.966629781191433,24.969636969176875,1.5,29.4,2.6,4.065177892621384,4.061015362461892,4.0630690696845635,4.106165490155641,4.152160697375162,4.585815954707645,6.4559086289843925,7.194633520177221,13.37735498783762,16.469534702094165,16.988236116679953,17.941335843092695
1998,8,25,6,0,0,0,5.5,0.0,101.22149717501364,87.57214924179715,78.1874377351286,1.0,0.0,0.0,0.6734778699446505,0.0,0.0,1.5,22.8,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998,8,25,7,0,102,84,6.5,102.10457609666648,100.29656795057576,79.77606634656462,84.29315557226751,1.0,48.50183848886119,64.3056028918209,0.0,48.50183848886119,101.00977836460358,1.5,23.9,2.6,27.272237896908702,26.796929032936934,26.381403701550663,26.119303059538527,25.693063051239303,25.238356386137276,58.044287417653905,61.79724706496506,65.56321323048982,68.69852460823728,71.43324466142137,73.85856368490518
1998,8,25,8,0,475,119,7.5,297.356795216607,99.10977649013792,67.94552319980923,93.40590343467831,0.0,262.1525775636015,171.930813634336,1.0,262.1525775636015,206.35797852708387,-0.2750137800683705,26.1,5.2,122.67984508347689,116.40603535394699,109.8523363580532,102.15483009928538,93.10010554634923,89.43592778990893,66.42676700686603,66.90830678834513,67.62363576225292,67.95985127488122,68.65972307645355,75.63724455475221
1998,8,25,9,0,436,203,8.5,445.4880831824257,98.04725020534173,56.208982730196645,103.51770386653966,0.0,391.0084908790521,258.07255938831895,1.0,391.0084908790521,254.62663745294185,0.3492837622375587,26.7,4.1,183.30484573059718,174.0127282574755,164.3086456627868,152.92730651912117,139.53732600622408,134.0488920648198,100.96521821123828,101.97578352271488,103.33280534097003,104.0816400001113,105.32701819737966,115.77866055577923
1998,8,25,10,0,613,185,9.5,618.2400345643157,97.1650765754777,45.028600314458835,116.01079290219154,0.0,582.0271266207418,341.09320324800115,1.0,582.0271266207418,270.5520532467664,0.43897847720837196,29.4,1.5,265.4748627277891,250.1530466215556,234.09283808962766,214.88109065028704,192.32221104913768,181.9664282178284,107.30208628658703,102.15136193017631,97.56812383860515,93.05270051189099,90.32058062659486,101.83530868581506
1998,8,25,11,0,640,229,10.5,751.8080258124018,96.51849664491162,35.225572585298934,133.23906265552392,0.0,712.5986843345776,408.9779352718508,1.0,712.5986843345776,294.3274944567389,0.48370338493554027,32.2,3.1,324.1882209650355,305.2588651794956,285.41116623216885,261.6300949713181,233.71018799734776,219.06809071489414,126.45503380395512,119.38865830948285,113.02338384864241,106.85255206215076,102.98446084219114,114.70744639474505
1998,8,25,12,0,686,225,11.5,828.0072946796495,96.14851426582713,28.475702861264832,158.34400731350598,0.0,796.7449541523057,442.5154963003993,1.0,796.7449541523057,292.67340485355726,0.50412166556906,35.0,3.1,360.40161101329153,338.8194031801696,316.17533468805726,288.9499077960389,256.9968157144814,238.77275726923094,129.33531096000934,119.56973026227767,110.60283058958302,102.126200833985,96.51689221898928,107.10631078723014
1998,8,25,13,0,642,284,12.5,854.6701993671547,96.07718083684878,27.265356246194504,190.0937456589021,0.0,808.8728741079648,461.12021685119186,1.0,808.8728741079648,316.87188185706884,0.5073962213506006,36.1,2.6,368.1992268673793,346.7553148587916,324.27258842671284,297.3439126929205,265.727504903465,247.16494493063527,144.76637737595465,136.93688882166495,129.90218967867315,123.06049835296638,118.80271751300239,129.98690690374906
1998,8,25,14,0,60,278,13.5,328.7494642327373,96.30777102907106,32.23962819637444,218.36355238331058,0.0,228.0250570383484,202.99370909207565,1.0,228.0250570383484,225.91930668886147,0.4945245359324674,36.1,4.1,118.2357202814779,115.10634068008201,111.92902016816922,108.77971639539254,105.00783237674148,98.87177409560147,124.89437406998691,135.70865801476518,146.64687269110843,155.7362431184488,163.5112423559031,168.78992147625289
1998,8,25,15,0,196,340,14.5,487.5353396954912,96.82563002003405,41.1724691458521,238.178531941143,0.0,383.4568122995781,289.6470965439202,1.0,383.4568122995781,289.9030069425336,0.4611463331747249,36.7,5.7,188.092827479633,180.661983530395,172.96839264157725,164.369022365022,154.20293789787033,145.7418826829655,147.5030750396266,156.00515107819783,164.7898230459912,171.88061315207173,178.28019215309087,186.90034494649166
